english_term,translation,keep_in_english,context,notes,source,last_updated
Privileged,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Profile,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Project,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Projects and Tasks,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Publication Groups,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Publications,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Pushdown,pushdown,no,,Technical term kept in English,style-guide,2026-08-17
Query,requête,no,,,style-guide,2026-08-17
Queue,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Read-only,lecture seule,no,,,style-guide,2026-08-17
Report,rapport,no,,,style-guide,2026-08-17
Role,rôle,no,,,style-guide,2026-08-17
Scheduled Reports,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Section,section,no,,,style-guide,2026-08-17
Setting,paramètre,no,,,style-guide,2026-08-17
Slideshow,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Summary Number,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Support & Feedback,Support technique et commentaires,no,section-header,,style-guide,2026-08-17
Table,tableau,no,UI,UI element; 'tableau' also = spreadsheet,style-guide,2026-08-17
Task,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Template,modèle,no,,,style-guide,2026-08-17
Tile,mosaïque,no,Magic ETL,,style-guide,2026-08-17
Tip,Conseil,no,callout-label,<Tip> callout label,style-guide,2026-08-17
Update,mise à jour,no,,As noun; 'mettre à jour' as verb,style-guide,2026-08-17
User,utilisateur,no,,,style-guide,2026-08-17
Widget,widget,no,,Kept in English,style-guide,2026-08-17
workflow,flux de travail,no,generic,,style-guide,2026-08-17
Workflows,Flux de travail,no,,Lowercase in body ('flux de travail'); capitalize in headings,style-guide,2026-08-17
Workspace,espace de travail,no,,,style-guide,2026-08-17
