english_term,translation,keep_in_english,context,notes,source,last_updated
Participant,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Pass-Through,Pass-Through,no,,Kept with hyphen,style-guide,2026-08-17
Permission,Berechtigung,no,,,style-guide,2026-08-17
Permissions,Berechtigungen,no,,,style-guide,2026-08-17
Privileged,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Profile,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Project,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Projects and Tasks,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Publication Groups,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Publications,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Pushdown,Pushdown,no,,Technical term kept in English,style-guide,2026-08-17
Query,Abfrage,no,,,style-guide,2026-08-17
Queue,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Read-only,schreibgeschützt,no,,Adjective; 'schreibgeschützter Zugriff' = read-only access,style-guide,2026-08-17
Report,Bericht,no,,,style-guide,2026-08-17
Role,Rolle,no,,,style-guide,2026-08-17
Scheduled Reports,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Section,Abschnitt,no,,,style-guide,2026-08-17
Setting,Einstellung,no,,,style-guide,2026-08-17
Slideshow,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Summary Number,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Support & Feedback,Unterstützung und Feedback,no,section-header,,style-guide,2026-08-17
Table,Tabelle,no,UI,,style-guide,2026-08-17
Task,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Template,Vorlage,no,,,style-guide,2026-08-17
Tile,Kachel,no,Magic ETL,,style-guide,2026-08-17
Tip,Tipp,no,callout-label,<Tip> callout label,style-guide,2026-08-17
Update,Aktualisierung,no,,As noun; 'aktualisieren' as verb,style-guide,2026-08-17
User,Benutzer,no,,,style-guide,2026-08-17
Widget,Widget,no,,Kept in English,style-guide,2026-08-17
workflow,Arbeitsablauf,no,generic,Singular,style-guide,2026-08-17
Workflows,Arbeitsabläufe,no,,Always translated,style-guide,2026-08-17
Workspace,Arbeitsbereich,no,,,style-guide,2026-08-17
