english_term,translation,keep_in_english,context,notes,source,last_updated
Page,ページ,no,,Katakana,style-guide,2026-08-17
Participant,閲覧ユーザー,no,,Mined from XTM TM: 12/14 approved (86% agreement),mined-tm,2026-08-17
Permission,許可,no,,許可 = a specific grant/permission,style-guide,2026-08-17
Privileged,パワーユーザー,no,,Mined from XTM TM: 14/16 approved (88% agreement),mined-tm,2026-08-17
Profile,プロフィール,no,,Mined from XTM TM: 26/26 approved (100% agreement),mined-tm,2026-08-17
Project,プロジェクト,no,,Mined from XTM TM: 73/80 approved (91% agreement),mined-tm,2026-08-17
Projects and Tasks,プロジェクトとタスク,no,,Mined from XTM TM: 43/50 approved (86% agreement),mined-tm,2026-08-17
Publication Groups,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Publications,パブリケーション,no,,Mined from XTM TM: 30/30 approved (100% agreement),mined-tm,2026-08-17
Pushdown,プッシュダウン,no,,Katakana,style-guide,2026-08-17
Query,クエリ,no,,Katakana,style-guide,2026-08-17
Queue,キュー,no,,Mined from XTM TM: 10/12 approved (83% agreement),mined-tm,2026-08-17
Read-only,読み取り専用,no,,Kanji compound,style-guide,2026-08-17
Report,レポート,no,,Katakana,style-guide,2026-08-17
Required Grants,必要な許可,no,section-header,,style-guide,2026-08-17
Role,権限,no,agent-field,Kanji; the agent 'Role' configuration field,style-guide,2026-08-17
Role,ロール,no,user,Katakana; user role,style-guide,2026-08-17
Scheduled reports,スケジュールレポート,no,,Mined from XTM TM: 21/28 approved (75% agreement),mined-tm,2026-08-17
Section,セクション,no,,Katakana,style-guide,2026-08-17
Setting,設定,no,,Kanji,style-guide,2026-08-17
Settings,設定,no,,Kanji,style-guide,2026-08-17
Slideshow,スライドショー,no,,Mined from XTM TM: 5/5 approved (100% agreement),mined-tm,2026-08-17
Summary Number,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Support & Feedback,サポート,no,section-header,,style-guide,2026-08-17
Table,表,no,UI,Kanji; preferred over テーブル in UI context,style-guide,2026-08-17
Table,テーブル,no,database,Katakana; database or ETL context,style-guide,2026-08-17
Task,タスク,no,,Mined from XTM TM: 32/32 approved (100% agreement),mined-tm,2026-08-17
Template,テンプレート,no,,Katakana,style-guide,2026-08-17
Tile,タイル,no,Magic ETL,Katakana,style-guide,2026-08-17
Tip,ヒント,no,callout-label,<Tip> callout label,style-guide,2026-08-17
Update,更新,no,,Kanji; '更新する' as verb,style-guide,2026-08-17
User,ユーザー,no,,Katakana,style-guide,2026-08-17
Widget,ウィジェット,no,,Katakana,style-guide,2026-08-17
Workflow,ワークフロー,no,,Katakana,style-guide,2026-08-17
Workflows,ワークフロー,no,,Katakana,style-guide,2026-08-17
Workspace,ワークスペース,no,,Katakana,style-guide,2026-08-17
