english_term,translation,keep_in_english,context,notes,source,last_updated
Privileged,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Profile,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Project,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Projects and Tasks,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Publication Groups,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Publications,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Pushdown,En pushdown,no,,Technical term kept with Spanish article,style-guide,2026-08-17
Query,Consulta,no,,,style-guide,2026-08-17
Queue,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Read-only,Solo lectura,no,,,style-guide,2026-08-17
Report,Informe,no,,,style-guide,2026-08-17
Role,Función,no,,'Función' preferred; 'Rol' accepted,style-guide,2026-08-17
Scheduled Reports,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Section,Sección,no,,,style-guide,2026-08-17
Setting,Configuración,no,,Or 'Ajuste',style-guide,2026-08-17
Slideshow,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Summary Number,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Support & Feedback,Soporte y comentarios,no,section-header,,style-guide,2026-08-17
Table,Tabla,no,UI,UI element,style-guide,2026-08-17
Task,,no,,OK to translate per PMM glossary; no fixed target yet — fill via translator/retrospective,branded-terms,2026-08-17
Template,Plantilla,no,,,style-guide,2026-08-17
Tip,Sugerencia,no,callout-label,<Tip> callout label,style-guide,2026-08-17
Update,Actualización,no,,As noun; 'actualizar' as verb,style-guide,2026-08-17
User,Usuario,no,,,style-guide,2026-08-17
Widget,Widget,no,,Kept in English,style-guide,2026-08-17
workflow,flujo de trabajo,no,generic,Lowercase when not a product reference,style-guide,2026-08-17
Workflows,Flujos de trabajo,no,,Always translated,style-guide,2026-08-17
Workspace,Espacio de trabajo,no,,,style-guide,2026-08-17
